Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,2.636,2.5,Hai phương pháp gần nhau.
cross-doc,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,3.364,3.227,Hai phương pháp gần nhau.
cross-doc,Latency (s),5.055,3.674,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,718.773,650.864,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,2.6,2.6,Hai phương pháp gần nhau.
factoid,Faithfulness,5.0,5.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,5.0,5.0,Hai phương pháp gần nhau.
factoid,Latency (s),4.454,3.472,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,685.8,579.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,2.304,2.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,4.87,4.696,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,3.348,3.043,Hai phương pháp gần nhau.
multi-hop,Latency (s),5.205,3.166,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,750.304,635.13,GraphRAG không đắt hơn trong sample này.
